Row Labels
Abia
Abuja
Akwa Ibom
Anambara
Bayelsa
Borno
Cross River
Delta
Edo
Ekiti
Enugu
Imo
Ohaji/Egbema
Owerri Municipal
Owerri North
Owerri West
Kaduna
Kano
Katsina
Kogi
Kwara
Lagos
Agbara-Igbesa
Agege
Ajah
Alimosho
Amuwo Odofin
Apapa
Ayobo
Badagry
Egbe
Ejigbo
Eko Atlantic City
Epe
Gbagada
Ibeju
Ibeju Lekki
Idimu
Ifako-Ijaiye
Ijaiye
Ijede
Ijesha
Ikeja
Ikorodu
Ikotun
Ikoyi
Ilupeju
Imota
Ipaja
Isheri
Isheri North
Isolo
Ketu
Kosofe
Lagos Island
Lekki
Magodo
Maryland
Mushin
Ogudu
Ojo
Ojodu
Ojota
Oke-Odo
Orile
Oshodi
Shomolu
Surulere
Victoria Island (VI)
Yaba
Nasarawa
Karu
Keffi
Nasarawa
Niger
Paikoro
Ogun
Abeokuta North
Abeokuta South
Ado-Odo/Ota
Agbara
Arepo
Ewekoro
Ibafo
Ifo
Ijebu Ode
Ijoko
Isheri North
KM 46
Magboro
Mowe Ofada
Mowe Town
Obafemi Owode
Ogijo
Oke-Aro
Sagamu
Sango Ota
Simawa
Yewa South
Osun
Ede South
Osogbo
Oyo
Afijio
Akinyele
Egbeda
Ibadan
Ibadan North
Ibadan North-East
Ibadan North-West
Ibadan South-West
Ibarapa North
Ido
Oluyole
Oyo West
Plateau
Jos North
Jos South
Rivers
Eleme
Ikwerre
Obio-Akpor
Oyigbo
Port Harcourt
Grand Total
